Home,Away,Torv_Home_Points,Torv_Away_Points,Torv_Line
Fresno St.,Boise St.,56,54,2.6
Buffalo,Ohio,75,74,0.2
Wright St.,Cleveland St.,75,76,0.7
Dayton,Rhode Island,63,57,6.3
Quinnipiac,Marist,68,70,1.7
Boston University,Colgate,69,67,1.6
Colorado St.,UNLV,77,67,10.0
Northern Kentucky,Fort Wayne,66,67,0.5
New Hampshire,Stony Brook,70,68,2.2
Harvard,Penn,73,69,4.7
Siena,Niagara,62,60,1.5
Air Force,Wyoming,58,65,6.6
Rider,Fairfield,64,66,2.1
Toledo,Akron,73,62,11.5
Saint Peter's,Manhattan,71,64,6.3
New Mexico,San Jose St.,81,70,11.1
Monmouth,Canisius,75,62,13.9
Holy Cross,Lehigh,67,72,4.8
